"_time","Logon_Type",ComputerName,EventCode
"2026-08-14T08:49:42.000+0700",,"DESKTOP-IUKE6AK",1100
"2026-08-14T08:48:47.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:48:47.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:48:47.000+0700",2,"DESKTOP-IUKE6AK",4634
"2026-08-14T08:48:47.000+0700",2,"DESKTOP-IUKE6AK",4634
"2026-08-14T08:48:47.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:48:47.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:48:47.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:48:47.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:48:46.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:48:46.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:48:46.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:48:46.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:48:46.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:48:46.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:48:46.000+0700",3,"DESKTOP-IUKE6AK",4634
"2026-08-14T08:48:46.000+0700",2,"DESKTOP-IUKE6AK",4634
"2026-08-14T08:48:46.000+0700",,"DESKTOP-IUKE6AK",4798
"2026-08-14T08:48:46.000+0700",,"DESKTOP-IUKE6AK",4798
"2026-08-14T08:48:46.000+0700",,"DESKTOP-IUKE6AK",4798
"2026-08-14T08:48:46.000+0700",,"DESKTOP-IUKE6AK",4798
"2026-08-14T08:48:46.000+0700",,"DESKTOP-IUKE6AK",4798
"2026-08-14T08:48:45.000+0700",,"DESKTOP-IUKE6AK",4647
"2026-08-14T08:48:19.000+0700",,"DESKTOP-IUKE6AK",1102
"2026-08-14T08:47:21.000+0700",,"DESKTOP-IUKE6AK",4797
"2026-08-14T08:47:21.000+0700",,"DESKTOP-IUKE6AK",4797
"2026-08-14T08:47:21.000+0700",,"DESKTOP-IUKE6AK",4797
"2026-08-14T08:47:21.000+0700",,"DESKTOP-IUKE6AK",4797
"2026-08-14T08:46:28.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:46:28.000+0700",5,"DESKTOP-IUKE6AK",4624
